WKT	OBJECTID	FEATURE
"LINESTRING (503674.5250749004 7490000, 503311.331279912 7490794.23871238, 502974.5984068047 7492183.728981317, 502625.146760177 7493151.24504545, 502193.8118525125 7493869.740278024, 501546.7987861271 7494516.728609531, 501474.8979849127 7494612.738669444, 500204.8389554804 7495523.221198734, 500000 7495640.840824632)"	"6205"	"Fault or shear zone, major"
"LINESTRING (500011.2903023658 7500081.737646446, 500225.5811919638 7499852.75129733, 500317.0406799428 7499722.747876719, 500540.3239019878 7499405.754078721, 500693.8478708981 7499210.24120471, 500879.680035571 7498973.749739247, 501067.4969917253 7498734.738845389, 501690.5478568198 7498015.748866831, 502102.8640840947 7497413.75487866, 502494.8881311541 7496940.753669793, 502543.1101128674 7496867.258428087, 502892.6212320153 7496333.750415212, 503467.6845294551 7495573.262532515)"	"2689"	"Fault or shear zone"
"LINESTRING (501346.448760454 7506818.776145739, 501829.5920011161 7506503.164141379, 502385.9130002048 7506087.284355456, 502834.8570327766 7505643.797415729, 503436.898378108 7505101.301380255)"	"8910"	"Fault or shear zone"
"LINESTRING (500000 7490366.643987686, 500381.9652281592 7490000)"	"5997"	"Fault or shear zone"
"LINESTRING (510631.0113203275 7496937.431580197, 509447.9127657863 7497399.332115818, 508057.5648039028 7497890.836837424, 507162.7502031472 7498283.819917561, 506845.5489036921 7498444.821155919, 506136.0183287603 7499008.312686082, 505769.049991 7499405.308301756, 504845.3935080547 7500357.313295105, 503823.902865605 7501484.119981881)"	"2688"	"Fault or shear zone"
"LINESTRING (509082.5888546698 7500793.861042405, 509754.4994215375 7500338.34911409, 510629.0500703189 7499876.239462561, 511105.6788717026 7499624.357510075, 510719.6186940917 7500020.858529324, 509625.3116076818 7501265.899541479)"	"16767"	"Fault or shear zone"
"LINESTRING (515424.9326775875 7509837.918581821, 515394.9275129607 7509828.845650297, 515312.5295609218 7509803.929872453, 514643.1275103203 7509739.409580438, 513973.7312097072 7509588.411545812, 513200.3287176801 7509465.899319883, 513000.7104130245 7509642.400260573, 512769.7070306243 7509843.39902842, 512605.0284527596 7509984.392240064, 511755.8583619048 7510612.881724564, 511419.0307462377 7510844.879789885, 511160.0619621127 7511023.371617679, 510875.4119368167 7511343.371012421, 510486.6901045666 7511824.785264174, 510483.3979119833 7511828.862335017, 509914.561077905 7512557.860235138, 509137.8859379092 7513720.351803415, 508196.4365492957 7514998.328047384)"	"15552"	"Fault or shear zone"
"LINESTRING (512640.2995057406 7497963.869518281, 511257.2524690177 7499413.369148155, 511105.6788717026 7499624.357510075)"	"2246"	"Fault or shear zone"
"LINESTRING (504095.7336343682 7512570.303059902, 505625.7454166614 7512027.301031984, 506206.4458015939 7511827.105157044, 506432.0753495833 7511749.312271785, 507441.4509364628 7511374.328017983, 508196.460779174 7511007.840648916, 508791.6682384491 7510463.3499764, 509029.1132643158 7510130.306418766, 509206.249674232 7509881.840685755, 509236.8798053822 7509831.840267447, 509514.9395947641 7509377.852253412, 509593.4922240691 7509249.862772936, 509791.9975160045 7509010.857727492, 510062.5590266488 7508685.349122211, 510093.0782904837 7508648.857326306, 510423.1293482921 7508407.370112345, 510916.8983392117 7508045.880656153, 511817.9555381567 7507627.377420742, 512313.4999449277 7507522.900068942, 512770.7900115862 7507399.409078831, 513462.9393362041 7507185.910552585, 514147.9999066615 7506812.920626515, 514376.3396694898 7506684.420272097, 514710.9014938009 7506357.429269495, 514855.398267887 7506149.941191446, 514948.9805550413 7506013.929416113, 515178.5779770894 7505680.429272604, 515243.8597828858 7505523.4307279, 515694.686183344 7504430.43027069, 515738.8847659868 7504353.440322596, 516394.7128138839 7503210.940093106, 516559.5288458597 7502992.442232464, 516863.057892551 7502589.942326088, 516965.3809619477 7502458.640669763, 516985.4093417867 7502432.939720504, 517381.0303675341 7501996.450458599, 517439.4522652144 7501894.939140924, 517626.9782877809 7501568.438148491, 517873.4395489928 7501235.941138338, 517978.5025881159 7501117.440985388, 518524.9442623953 7500500.441911411, 518815.131402549 7500008.949371014, 518839.3087217496 7499930.939910488, 518912.2703785664 7499695.460613206, 518959.7393457133 7499542.451161015, 519006.42959692 7499391.451385069, 519103.0915856652 7499079.938515905, 519142.3734245101 7498952.950562375, 519198.9088556755 7498812.449021305, 519252.2010176295 7498679.952354822, 519335.6618072438 7498472.439554908, 519782.088446917 7497413.448312007, 520002.3885029421 7496934.941946911, 520209.1083645308 7496271.949922599, 520631.0354485206 7495403.945530902)"	"14378"	"Fault or shear zone"
"LINESTRING (505915.6287034978 7508804.80710786, 506726.5027160372 7508144.825477514, 507530.7221110854 7507427.837601766, 508245.7493539788 7506672.841898306, 508586.8314446715 7506187.349967605, 508959.4085101376 7505671.34795423, 509170.2293789443 7505384.203821687, 509196.9123451138 7505347.859843862, 509390.3492192297 7505116.849339642, 509634.3305231591 7504825.360770935, 509787.7725655937 7504640.364181733, 510066.1874402938 7504346.375179503, 510560.5142743085 7503993.37264487, 511170.4942639269 7503639.483586507, 511302.5239696847 7503562.879181458, 512019.3346708197 7503183.886323487, 512378.6922397354 7502790.377815655, 512482.6791021327 7502680.074805035, 512803.8400071754 7502339.391940008, 513018.0382912054 7501955.399287626, 513106.5304164757 7501796.901870996, 513377.9109641315 7501368.889721707, 513751.0119307768 7500914.900955502, 513929.3190118876 7500757.397819897, 514426.278360774 7500319.408302404, 514491.9367276406 7500261.410799589, 515378.9555314353 7499575.91353935, 515891.7593446999 7499082.908461971, 515937.8603095606 7499043.418337679, 516084.3513897646 7498918.921142542, 516132.4019624576 7498877.912625977, 516399.8008133813 7498690.9206743, 516446.6907421405 7498643.431208974, 516885.9020885961 7498199.429791741, 516997.112233693 7498099.429196692, 517453.4872595447 7497683.898538314, 517473.779419789 7497665.421633452, 517847.8796070706 7497213.920483816, 517992.7799213823 7496926.42913488, 518383.9314657774 7496275.420112828, 518769.2901477404 7495725.928489053, 519033.6040513134 7495151.432649084, 519611.7950355628 7493709.943739748, 519761.5429845069 7493104.438978808, 519879.2517868591 7492448.441115267, 519972.7815469111 7492053.43901718)"	"2843"	"Fault or shear zone"
